CityID|CityName|StateProvinceID|Location|LatestRecordedPopulation|LastEditedBy|ValidFrom|ValidTo
4|"Abbeville"|42|POINT (-82.3790148 34.1781719)|5446.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
578|"Alpha"|36|POINT (-84.0232671 39.7117263)||4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
1309|"Ashippun"|52|POINT (-88.5162108 43.2119477)|346.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
9555|"Dunkirk"|33|POINT (-79.3339324 42.4795019)|13065.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
11182|"Fairvalley"|37|POINT (-99.0483252885 36.7395348006)||4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
12331|"French Camp"|25|POINT (-89.3995159 33.293181)|180.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
12746|"Gaskin"|10|POINT (-86.1354968 30.9710146)||4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
13039|"Girardville"|39|POINT (-76.2835569 40.7914769)|1579.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
15379|"Higbee"|26|POINT (-92.5126805 39.3047584)|590.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
17651|"Keystone Heights"|10|POINT (-82.0314892 29.7860769)|1404.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
20044|"Lost Springs"|53|POINT (-104.9252467 42.7655233)|4.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
20330|"Lyman"|43|POINT (-99.7395576 43.8811033)||4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
21157|"Marvel"|6|POINT (-108.1267413 37.1125001)||4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
27130|"Pitman"|31|POINT (-75.1315651 39.732892)|9371.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
32812|"Stillwater"|39|POINT (-76.3657741 41.1489732)|217.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
35338|"Victoria"|17|POINT (-99.1475967 38.8527896)|1262.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
38109|"Yuba"|52|POINT (-90.4298511 43.5388647)|76.0|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
